x	y1	y2	y3	y4	y5	y6
1	50	33	1	0	0	48
2	50	36	1	0	0	48
3	49	37	2	1	2	46
4	50	34	1	2	5	45
5	48	40	0	0	6	46
6	46	38	3	3	7	47
7	46	41	0	4	8	48
8	45	36	8	3	17	43
9	39	42	4	8	21	43
10	39	32	4	8	29	42
11	32	37	6	12	30	39
12	26	33	3	13	36	34
13	24	32	4	15	34	32
14	14	39	7	25	46	28
15	11	43	2	27	47	30
16	7	39	7	34	47	22
17	8	38	6	34	48	25
18	5	36	8	39	49	12
19	2	37	13	41	49	8
20	2	35	8	43	49	12
21	2	32	19	47	50	13
22	3	40	17	50	50	10
23	0	39	22	49	50	7
24	1	33	29	49	50	3
25	1	36	25	50	50	11
26	0	40	22	50	50	1
27	0	40	31	48	50	1
28	0	40	33	50	50	1
29	0	37	34	50	50	2
30	0	32	39	50	50	1

